Week,Date,Day,Slot,Month Theme,Format,Platforms,Pillar,Topic & Hook,Hook (first 3 sec),Script / Shot List,On-screen Text,Caption Draft,CTA,Hashtag Set,Audio / Style / Ad Spend,Asset to Create,Source Assets & Notes,Filmed,Edited,Status,Posted Link,Views,Saves,Shares,DMs,Bookings
5,"Sep 18, 2026",Fri,Slot 2 - Image / Ad,Botox Education Month,Image post + boost,IG feed + Facebook + GBP,Trust & Proof,Quote card: Why I Say No,The best injectors turn work away.,"Static quote card, dark template.",A good injector will tell you no.,"I have turned down work that would have paid well. If the plan does not suit your face, you should hear that out loud before anyone opens a vial.",Save this before you book,Set C,Boost $8/day for 4 days.,"Design quote card, 4:5",,,,Idea,,,,,,
5,"Sep 20, 2026",Sun,Slot 3 - Reel,Botox Education Month,Reel (video),IG Reels + Facebook Reels + TikTok,Trust & Proof,5 Things Botox Will Not Fix,Let me save you some money.,"Fast list to camera: deep static folds, volume loss, skin texture, sun damage, under-eye hollows. For each, name what actually helps instead.",WILL NOT FIX: 1-5 + what actually helps,"If someone tells you Botox fixes all five of these, walk. Different problems need different tools, and some of them are not injectables at all.",Save this,Set C,"Voiceover, quick cuts, no music.","Film 5-beat list, 40 sec",Repurpose: Sep 14 carousel,,,Idea,,,,,,
6,"Sep 23, 2026",Wed,Slot 1 - Reel,Botox Education Month,Reel (video),IG Reels + Facebook Reels + TikTok,Education,The Face Map: Where the Units Go,Three areas. Very different jobs.,"Overlay a face map graphic on a still of NP Cleo. Point to forehead, glabella, crow's feet. Explain the muscle behind each and why over-treating the forehead drops brows.",FOREHEAD / ELEVENS / CROW'S FEET,Your forehead lifts your brows. Treat it too hard and everything drops. This is why the plan matters more than the product.,DM MAP with your question,Set A,Voiceover over animated overlay.,Design face-map overlay + film narration,Repurpose: Sep 14 face map post,,,Idea,,,,,,
6,"Sep 25, 2026",Fri,Slot 2 - Image / Ad,Botox Education Month,Image post + boost,IG feed + Facebook + GBP,Promo & CTA,Consults Are Free,You can leave without booking anything.,"Static card, light template, plain typographic offer.",CONSULTS ARE FREE / and you can walk out with nothing booked,"A consultation is not a sales appointment. We go through your goals, map your face in motion, and if injectables are not the answer I will tell you.",DM CONSULT to book,Set E,Boost $10/day for 5 days. Lead objective.,"Design offer card, 4:5 + 1:1",,,,Idea,,,,,,
6,"Sep 27, 2026",Sun,Slot 3 - Reel,Botox Education Month,Reel (video),IG Reels + Facebook Reels + TikTok,Personality & BTS,Ask NP Cleo: The 3 Questions I Get Every Day,Same three questions. Every single week.,"Talking head, three chapters: Will it hurt? Will people notice? What if I hate it? Honest answers, no softening.",Q1 / Q2 / Q3,"Three questions, asked in the DMs every week. Here are the honest answers, including the one about hating it.",Drop your question below,Set D,"Conversational, seated, soft music.","Film 3-chapter Q&A, 60 sec",Repurpose: Sep 24 Ask NP Cleo carousel,,,Idea,,,,,,
7,"Sep 30, 2026",Wed,Slot 1 - Reel,Botox Education Month,Reel (video),IG Reels + Facebook Reels + TikTok,Education,How Long Does It Really Last,"Three to four months, and here is why yours may be shorter.","Talking head + simple timeline graphic. Metabolism, muscle strength, dose, exercise load. End with the honest line about the first round often fading faster.",WEEK 2 peak / MONTH 3 softening / MONTH 4 back to baseline,"Your first round often fades a little faster. That is normal, not a bad product. The second round usually holds longer.",DM to plan your timing,Set A,Voiceover with a timeline animation.,Design timeline graphic + film narration,Repurpose: Sep 28 carousel,,,Idea,,,,,,
7,"Oct 2, 2026",Fri,Slot 2 - Image / Ad,"Fillers, Naturally",Image post + boost,IG feed + Facebook + GBP,Trust & Proof,What Natural Results Actually Look Like,"If you can tell, it was too much.",Static card pairing a real healed result crop with the line. Use consented Pair E.,Still you. Just rested.,Nobody should be able to point at what you had done. They should just think you slept well.,Save this,Set C,Boost $8/day for 4 days.,"Crop Pair E after image, add hook overlay","Photo library: img_9912.jpg (Pair E, consent not needed)",,,Idea,,,,,,
7,"Oct 4, 2026",Sun,Slot 3 - Reel,"Fillers, Naturally",Reel (video),IG Reels + Facebook Reels + TikTok,Education,Botox or Filler? 20-Second Answer,Lines or volume. That is the whole decision.,"Two-card cutaway. Lines from movement = neuromodulator. Volume loss or structure = filler. Most faces need a bit of both, in that order.",MOVEMENT = relaxer / VOLUME = filler,"It is not a personality test. Movement lines get a relaxer. Lost volume gets filler. If someone sells you both on day one without looking at your face in motion, leave.",DM which one you think you need,Set A,"Fast cuts, voiceover.","Film 2-beat explainer, 25 sec",Repurpose: Sep 21 Botox or Filler carousel,,,Idea,,,,,,
8,"Oct 7, 2026",Wed,Slot 1 - Reel,"Fillers, Naturally",Reel (video),IG Reels + Facebook Reels + TikTok,Education,Lip Filler: Natural vs Overdone,The difference is not the amount. It is the shape.,"Side-by-side stills with annotation arrows. Ratio, border, projection. Explain why chasing volume without respecting the existing lip shape reads as fake.",SHAPE first / VOLUME second,Overdone lips are usually not too much product. They are product placed against the lip you already have instead of with it.,DM LIPS to ask,Set A,Voiceover over annotated stills.,Annotate consented stills + film narration,"Photo library: Pair B (img_0962 / img_0998, consent not needed)",,,Idea,,,,,,
8,"Oct 9, 2026",Fri,Slot 2 - Image / Ad,"Fillers, Naturally",Image post + boost,IG feed + Facebook + GBP,Education,Filler Will Not Make You Look Like Someone Else,You will still look like you.,"Static card, light template.",Filler cannot give you someone else's face. It can only sharpen yours.,The photo you brought in is someone else's bone structure. What we can do is make your own read better. That is the honest ceiling.,Save this before your consult,Set A,Boost $8/day for 4 days.,"Design card, 4:5",Repurpose: Oct 5 carousel,,,Idea,,,,,,
8,"Oct 11, 2026",Sun,Slot 3 - Reel,"Fillers, Naturally",Reel (video),IG Reels + Facebook Reels + TikTok,Trust & Proof,One Syringe. Day 0 to Day 14.,This is what one syringe actually does.,"Photo transition reel. Before, day 0 swollen, day 14 settled. Voiceover naming what changed and what was left alone.",BEFORE / DAY 0 / DAY 14,"One syringe, her own lip shape kept. The middle photo is swelling, not the result. This is why I ask you not to judge anything before two weeks.",DM LIPS to book a consult,Set C,"Soft music, slow cross-dissolves.",Sequence 3 consented stills into a 20-sec reel,"Photo library: img_9848 / img_9850 (Pair F, consent on file)",,,Idea,,,,,,
9,"Oct 14, 2026",Wed,Slot 1 - Reel,"Fillers, Naturally",Reel (video),IG Reels + Facebook Reels + TikTok,Education,Cheek Filler: The Lift Nobody Notices,Everyone thinks it is about cheeks. It is not.,Talking head + face map overlay. Midface support lifts the lower face. Explain why treating the nasolabial fold directly is usually the wrong move.,SUPPORT the midface / not fill the fold,The fold you keep looking at is usually a symptom. Support the midface and it softens on its own.,DM CHEEK to ask,Set A,Voiceover with overlay.,Film narration + design midface overlay,Repurpose: Oct 12 carousel,,,Idea,,,,,,
9,"Oct 16, 2026",Fri,Slot 2 - Image / Ad,"Fillers, Naturally",Image post + boost,IG feed + Facebook + GBP,Education,"Facial Balancing, Explained",One area at a time is how faces go wrong.,"Static card, light template, 3 short lines.","FACIAL BALANCING / the plan, not the product","Chasing one line at a time is how people end up looking treated. A plan looks at the whole face and often does less, not more.",Save this,Set A,Boost $8/day for 4 days.,"Design card, 4:5",Repurpose: Oct 29 carousel,,,Idea,,,,,,
9,"Oct 18, 2026",Sun,Slot 3 - Reel,"Fillers, Naturally",Reel (video),IG Reels + Facebook Reels + TikTok,Trust & Proof,"Real Lips, Real Settle Time",Two weeks. Then judge it.,"Before and after stills, matched 3/4 profile, colour corrected. Voiceover on why day-0 photos mislead.",BEFORE / 2 WEEKS,"Same angle, same light, two weeks apart. Nothing added to the shape she already had.",DM LIPS to book,Set C,"Soft music, slow transitions.",Colour-match and sequence Pair B,Photo library: img_0962 / img_0998 (Pair B),,,Idea,,,,,,
10,"Oct 21, 2026",Wed,Slot 1 - Reel,"Fillers, Naturally",Reel (video),IG Reels + Facebook Reels + TikTok,Education,Lip Filler Aftercare: The First 48 Hours,Do these five things and swelling behaves.,"Talking head over B-roll of ice pack, water bottle, pillow. Five rules: ice, upright sleep, hydrate, no gym, no flights.",48 HOURS / 5 rules,Swelling peaks on day two and it always looks worse than the result. These five things keep it short.,Save this for the day after,Set A,Voiceover over B-roll.,Film aftercare B-roll + narration,Repurpose: Oct 22 aftercare carousel,,,Idea,,,,,,
10,"Oct 23, 2026",Fri,Slot 2 - Image / Ad,"Fillers, Naturally",Image post + boost,IG feed + Facebook + GBP,Education,Filler Dissolves. Here Is the Timeline.,"It is not permanent, and that is a feature.","Static timeline card, dark template.",6-12 MONTHS / and reversible in 20 minutes if needed,"Hyaluronic acid filler breaks down. If you hate it, it can be dissolved. Anyone offering something permanent for lips should worry you.",Save this before you book,Set A,Boost $8/day for 4 days.,"Design timeline card, 4:5",Repurpose: Oct 19 carousel,,,Idea,,,,,,
10,"Oct 25, 2026",Sun,Slot 3 - Reel,"Fillers, Naturally",Reel (video),IG Reels + Facebook Reels + TikTok,Trust & Proof,Swelling Is Not Your Result,Day zero is a lie. Here is proof.,"Show the reclined day-0 heavily swollen shot, then the healed one. Voiceover: 'If you had judged it here, you would have panicked.'",DAY 0 / DAY 14 / do not judge the middle,This is the photo people screenshot and panic about. Two weeks later it is a completely different lip. Patience is part of the treatment.,DM if you are in your swelling week,Set C,"Voiceover, no music.",Sequence day-0 and healed stills,Photo library: img_7715.jpg (day 0) + Pair F healed,,,Idea,,,,,,
11,"Oct 28, 2026",Wed,Slot 1 - Reel,"Fillers, Naturally",Reel (video),IG Reels + Facebook Reels + TikTok,Education,5 Filler Lies in 40 Seconds,Five things about filler that are simply not true.,Rapid list to camera. It migrates always / it stretches your skin / more is better / it is permanent / cheap filler is the same product.,LIE 1 through LIE 5,Five things I hear every week. The last one is the one that actually costs people money.,Save and send to whoever needs it,Set A,"Quick cuts, trending audio low.","Film 5-beat list, 40 sec",Repurpose: Oct 26 carousel,,,Idea,,,,,,
11,"Oct 30, 2026",Fri,Slot 2 - Image / Ad,"Fillers, Naturally",Paid ad (static),Meta Ads (IG + FB) + GBP,Trust & Proof,Before and After: Pair A,"Front-on, honest, nothing retouched.","Side-by-side ad crop, cropped above the collarbone per the consent note.",BEFORE / AFTER / one appointment,"Same light, same angle, one appointment apart. Consent on file and cropped as agreed.",DM to book a consult,Set C,"Meta ad, $12/day for 5 days, local radius. Check platform policy on before/after before running.",Crop and pair img_0221 / img_0233 above the collarbone,"Photo library: Pair A, consent on file",,,Idea,,,,,,
11,"Nov 1, 2026",Sun,Slot 3 - Reel,Rested by the Holidays,Reel (video),IG Reels + Facebook Reels + TikTok,Personality & BTS,A Day in the Treatment Room,One client at a time. All day.,"Time-lapse day in the life: room reset between clients, tray builds, notes, last light. Voiceover about why the schedule is deliberately small.",ONE client in the room / no overlap / no rushing,The room is reset completely between every client. It is slower and it books fewer people. That is the trade I chose.,DM to book,Set D,"Soft instrumental, time-lapse cuts.","Film a full clinic day, edit to 45 sec",,,,Idea,,,,,,
12,"Nov 4, 2026",Wed,Slot 1 - Reel,Rested by the Holidays,Reel (video),IG Reels + Facebook Reels + TikTok,Promo & CTA,Book Now to Glow by December,"If you want to look rested at the party, this is your week.",Calendar graphic with a countdown. Explain the two-week settle window and the top-up window. End with the last safe booking date.,TREAT BY / SETTLES BY / PARTY SEASON,Injectables need two weeks to settle and sometimes a small top-up at week two. Work backwards from your first December event and you land on right now.,DM HOLIDAY to book,Set E,Voiceover over calendar animation.,Design countdown calendar + film narration,Repurpose: Nov 2 Holiday Timeline carousel,,,Idea,,,,,,
12,"Nov 6, 2026",Fri,Slot 2 - Image / Ad,Rested by the Holidays,Paid ad (static),Meta Ads (IG + FB) + GBP,Promo & CTA,Holiday Booking Timeline,Work backwards from your first party.,"Static timeline ad, dark template, 1:1 and 4:5 crops.",BOOK BY [date] TO GLOW BY DECEMBER,"The calendar does the arguing for me. Two weeks to settle, one week of buffer, then party season.",DM HOLIDAY to book,Set E,"Meta ad, $15/day for 7 days. Traffic to DM.","Design timeline ad, 1:1 + 4:5",,,,Idea,,,,,,
12,"Nov 8, 2026",Sun,Slot 3 - Reel,Rested by the Holidays,Reel (video),IG Reels + Facebook Reels + TikTok,Trust & Proof,"Every Angle, Healed",Six angles. Nothing hidden.,Slow rotation through the six healed-result angles. No hook overlay after the first two seconds. Voiceover: 'Most clinics post one angle. Here are six.',SIX ANGLES / healed and settled,"One result, photographed from every side once it had fully settled. If a clinic only ever shows you one angle, ask why.",DM to book,Set C,"Slow music, cross-dissolves.",Tight-crop the six angles and sequence,"Photo library: img_4775 / 4777 / 4778 / 4780 / 4781 / 4782 (Pair G, consent on file)",,,Idea,,,,,,
13,"Nov 11, 2026",Wed,Slot 1 - Reel,Rested by the Holidays,Reel (video),IG Reels + Facebook Reels + TikTok,Promo & CTA,Gift Certificates Are Live,"Finally, a gift nobody returns.","Show the physical gift card, the envelope, the handwriting. Voiceover on how it works and that the recipient still gets a full consultation first.",GIFT CERTIFICATES / any amount / consult always included,"Any amount, and whoever receives it still gets a proper consultation before anything is decided. Nobody gets talked into anything as a gift.",DM GIFT to order,Set E,"Warm music, close-up product B-roll.","Film gift card B-roll, 30 sec",Repurpose: Nov 9 Gift of Glow carousel,,,Idea,,,,,,
13,"Nov 13, 2026",Fri,Slot 2 - Image / Ad,Rested by the Holidays,Image post + boost,IG feed + Facebook + GBP,Promo & CTA,Party Season Starts Here,December is closer than the calendar admits.,"Static promo card, dark template.",PARTY SEASON / book your December face in November,November bookings are the ones that look effortless in December. December bookings are the ones that look done.,DM HOLIDAY to book,Set E,Boost $10/day for 5 days.,"Design promo card, 4:5",Repurpose: Nov 5 Party Season carousel,,,Idea,,,,,,
13,"Nov 15, 2026",Sun,Slot 3 - Reel,Rested by the Holidays,Reel (video),IG Reels + Facebook Reels + TikTok,Trust & Proof,Three Months of Honest Injecting,Ninety days in. Here is what you taught me.,"Talking head retrospective. The three most-asked questions, the thing she changed because of DMs, the post that surprised her. Warm, direct.",MONTH 1 / MONTH 2 / MONTH 3,"Three months of posting the unglamorous parts. The DMs told me people want the honest version more than the pretty one, so that is what continues.",Tell me what to cover next,Set C,"No music, one continuous take.",Film 60-sec retrospective,Repurpose: Nov 12 '3 Months' carousel,,,Idea,,,,,,
14,"Nov 18, 2026",Wed,Slot 1 - Reel,Gift Season Opens,Reel (video),IG Reels + Facebook Reels + TikTok,Promo & CTA,What to Ask For This Year (That Is Not a Candle),Put this on your list instead.,"Light, funny. Hold up a candle, set it aside, hold up the gift certificate. Voiceover on how to actually ask for it without it being awkward.",NOT A CANDLE / a consultation and a plan,Send this to whoever asks what you want. Screenshot it. Leave it open on their phone. I do not judge.,DM GIFT to order,Set E,"Trending audio, playful edit.",Film 20-sec comedy beat,,,,Idea,,,,,,
14,"Nov 20, 2026",Fri,Slot 2 - Image / Ad,Gift Season Opens,Image post + boost,IG feed + Facebook + GBP,Promo & CTA,The Gift Certificate Card,Any amount. Consultation always included.,"Static product shot of the printed card in its envelope, light template.",GIFT CERTIFICATES / any amount,"Printed, handwritten, and posted or picked up. Any amount, and a full consultation comes with it.",DM GIFT to order,Set E,Boost $10/day for 5 days.,"Shoot the card flat-lay, 4:5",,,,Idea,,,,,,
14,"Nov 22, 2026",Sun,Slot 3 - Reel,Gift Season Opens,Reel (video),IG Reels + Facebook Reels + TikTok,Education,How Late Is Too Late Before an Event,Your event is in ten days. Should you book?,Straight answer reel. Neuromodulator: 14 days minimum. Filler: 3-4 weeks minimum. Under ten days: skin only. Say no clearly.,14 DAYS for relaxer / 3-4 WEEKS for filler / under 10 days = skin only,"I will turn you away if the timing is wrong, and you should want an injector who does. Swollen lips in a wedding photo last longer than the filler does.",DM your event date and I will tell you honestly,Set A,"Voiceover, calendar graphic.",Design countdown graphic + film narration,Idea bank: Before your event checklist,,,Idea,,,,,,
15,"Nov 25, 2026",Wed,Slot 1 - Reel,Gift Season Opens,Reel (video),IG Reels + Facebook Reels + TikTok,Promo & CTA,"Black Friday, Done Honestly",I am not discounting the needle.,"Talking head, firm. Why unit discounts push over-treatment, what is actually on offer instead (gift certificate bonus value), and why that difference matters.",NO unit discounts / bonus value on gift cards only,"Discounting units encourages people to buy more than their face needs. So the offer is on gift certificates instead. Same value to you, no pressure on the plan.",DM GIFT for the Black Friday terms,Set E,"No music, direct to camera.",Film 40-sec position piece,,,,Idea,,,,,,
15,"Nov 27, 2026",Fri,Slot 2 - Image / Ad,Gift Season Opens,Paid ad (static),Meta Ads (IG + FB) + GBP,Promo & CTA,Black Friday Gift Certificate Offer,"Bonus value, not discounted units.","Static offer ad, dark template, 1:1 and 4:5.",BLACK FRIDAY / bonus value on every gift certificate,"The one week a year there is an offer, and it is on gift certificates. The treatment plan is never on sale.",DM GIFT to order,Set E,"Meta ad, $20/day Nov 27-30. Highest-spend week of the plan.","Design offer ad, 1:1 + 4:5",,,,Idea,,,,,,
15,"Nov 29, 2026",Sun,Slot 3 - Reel,Gift Season Opens,Reel (video),IG Reels + Facebook Reels + TikTok,Trust & Proof,Why the Needle Is Never on Sale,Cheap injectables are expensive.,"Talking head. What bargain pricing usually means: diluted product, rushed appointments, no complication plan. Reference the red flags carousel.",CHEAP PRODUCT / RUSHED ROOM / NO PLAN,"When the price is impossible, something is being cut. Usually it is the time somebody should have spent looking at your face.",Save this before you chase a deal,Set C,"No music, direct to camera.",Film 40-sec piece,Repurpose: Aug 20 Red Flags carousel,,,Idea,,,,,,
16,"Dec 2, 2026",Wed,Slot 1 - Reel,Glow Into the New Year,Reel (video),IG Reels + Facebook Reels + TikTok,Education,"Your December Face Plan, Week by Week",Four weeks. Here is the order.,"Calendar graphic, four beats. Week 1 treat, week 2 settle, week 3 top-up if needed, week 4 skin and hydration only.",W1 TREAT / W2 SETTLE / W3 TOP-UP / W4 SKIN ONLY,December works if you run it in this order. It falls apart if you try to compress it into the last ten days.,DM DECEMBER to book,Set A,Voiceover over calendar animation.,Design 4-week calendar + film narration,,,,Idea,,,,,,
16,"Dec 4, 2026",Fri,Slot 2 - Image / Ad,Glow Into the New Year,Paid ad (static),Meta Ads (IG + FB) + GBP,Promo & CTA,Last Call for Party-Season Botox,After this week the maths stops working.,"Static urgency ad, dark template.",LAST CALL / treat by [date] to settle by NYE,Two weeks to settle. Count backwards from New Year's Eve and this is the week.,DM DECEMBER to book,Set E,"Meta ad, $15/day for 6 days.","Design urgency ad, 1:1 + 4:5",,,,Idea,,,,,,
16,"Dec 6, 2026",Sun,Slot 3 - Reel,Glow Into the New Year,Reel (video),IG Reels + Facebook Reels + TikTok,Personality & BTS,GRWM: A Day of Consults,Get ready with me for a day of saying no.,"GRWM format. Morning routine, drive, room setup, first client prep. Voiceover about what a consult day actually involves.",GRWM / injector edition,A consult day is mostly listening and occasionally telling someone their money is better spent elsewhere. Here is the whole morning.,DM to book a consult,Set D,Trending GRWM audio.,"Film morning routine + studio setup, edit to 45 sec",Idea bank: GRWM injector edition,,,Idea,,,,,,
17,"Dec 9, 2026",Wed,Slot 1 - Reel,Glow Into the New Year,Reel (video),IG Reels + Facebook Reels + TikTok,Education,Skincare Before Injectables: The Right Order,Do this before you spend a dollar on filler.,"Talking head + product B-roll (unbranded). Sunscreen, retinoid, consistency for 3 months. Explain why texture and tone problems do not respond to filler.",SPF / RETINOID / 3 MONTHS / then talk injectables,"If your concern is texture, tone or dullness, injectables will not touch it. Fix the skin first. It is cheaper and it makes everything after it look better.",Save this,Set A,Voiceover over product B-roll.,Film B-roll + narration,Idea bank: Skincare before injectables,,,Idea,,,,,,
17,"Dec 11, 2026",Fri,Slot 2 - Image / Ad,Glow Into the New Year,Image post + boost,IG feed + Facebook + GBP,Education,The Week Before Your Event,"Seven days out. Do these, skip those.","Static checklist card, light template, do/do-not columns.",7 DAYS OUT / do / do not,"No new treatments, no new products, no fish oil, no last-minute anything. Sleep, water, and the plan you already made.",Save this for event week,Set A,Boost $8/day for 4 days.,"Design do/do-not card, 4:5",Idea bank: Before your event checklist,,,Idea,,,,,,
17,"Dec 13, 2026",Sun,Slot 3 - Reel,Glow Into the New Year,Reel (video),IG Reels + Facebook Reels + TikTok,Trust & Proof,The 3 Questions to Ask Any Injector,Ask these three before anyone touches your face.,"Direct to camera. Who is injecting and what is their licence? What product and what lot? What happens if something goes wrong, and who do I call at 9pm?",Q1 licence / Q2 product and lot / Q3 complication plan,"Ask these anywhere, including here. If a clinic gets defensive about any of the three, that is your answer.",Save this and take it to your next consult,Set C,"No music, direct to camera.",Film 40-sec piece,Repurpose: Aug 20 Red Flags carousel,,,Idea,,,,,,
18,"Dec 16, 2026",Wed,Slot 1 - Reel,Glow Into the New Year,Reel (video),IG Reels + Facebook Reels + TikTok,Promo & CTA,Last Day to Order Gift Certificates for Christmas,After today it will not arrive in time.,"Urgent but warm. Show the card, the envelope, the post box. State the cutoff date clearly twice.",ORDER BY [date] / pickup available until [date],"Ordering closes today for anything posted. Pickup stays open a little longer. After that it is a January gift, which is honestly also fine.",DM GIFT today,Set E,"Warm music, quick cuts.",Film 20-sec urgency piece,,,,Idea,,,,,,
18,"Dec 18, 2026",Fri,Slot 2 - Image / Ad,Glow Into the New Year,Paid ad (static),Meta Ads (IG + FB) + GBP,Promo & CTA,Last-Minute Gift,Still nothing for her? Sorted in one message.,"Static ad, warm holiday styling, 1:1 and 4:5.",LAST-MINUTE / one DM and it is done,"One message, any amount, sent digitally within the hour. You did not forget. You planned it this way.",DM GIFT to order,Set E,"Meta ad, $18/day for 5 days. Broaden age range to include partners.","Design last-minute ad, 1:1 + 4:5",,,,Idea,,,,,,
